userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	1114	ucsc_features	21.1071840708508	2.01688921959421	526	2	4	966	966	324	449	1237	2130	UCSC Genomic superdups	NA	NA	NA	NA	NA	genomicSuperDups.bed	1.96946368403751e-21	49852
1	1116	ucsc_features	5.84043222175807	1.39027880506638	526	7	8	966	966	327	604	1237	1975	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	0.00000339605064788223	1296
1	1119	ucsc_features	0.48433438689386	2.19592329894213	3	37	2	1122	1122	387	2	1760	2577	UCSC Numts assembled	NA	NA	NA	NA	NA	numtSAssembled.bed	0.676778369334711	78
1	1120	ucsc_features	0.0146293489671702	0.659660432836284	1728	101	194	1	194	98.7	2545	35	34	UCSC Repeat Masker	NA	NA	NA	NA	NA	rmsk.bed	1	5291824
1	1115	ucsc_features	5.47517170046939e-11	0.225799913080125	1704	189	846	2	846	346	2559	59	20	UCSC LaminBq	NA	NA	NA	NA	NA	laminB1.bed	1	2859551
1	1118	ucsc_features	2.26616954640023e-15	0.556118545538832	1308	213	221	10	221	148	2161	455	418	UCSC Nested repeats	NA	NA	NA	NA	NA	nestedRepeats.bed	1	574736
1	1122	ucsc_features	2.02508767976191e-15	0.362355303365816	1603	214	354	3	354	190	2489	160	90	UCSC Switch DB TSSs	NA	NA	NA	NA	NA	switchDbTss.bed	1	131751
1	1121	ucsc_features	0	0.469891143140961	1407	221	242	6	242	156	2305	356	274	UCSC Simple repeats	NA	NA	NA	NA	NA	simpleRepeat.bed	1	958537
1	1113	ucsc_features	0	0.356638331252413	1127	221	362	55	362	213	2147	636	432	UCSC Evo CpG islands	NA	NA	NA	NA	NA	evoCpg.bed	1	129241
1	1111	ucsc_features	0	0.441131118887774	980	221	253	175	253	216	1907	783	672	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	1	864
1	1112	ucsc_features	0	0.321099516291998	816	221	442	494	494	386	1879	947	700	UCSC CpG islands	NA	NA	NA	NA	NA	cpgIslandExt.bed	1	28633
1	1117	ucsc_features	0	0.310442874393662	290	221	467	1093	1093	594	1001	1473	1578	UCSC Microsatellites	NA	NA	NA	NA	NA	microsat.bed	1	41258
1	1123	ucsc_features	0	0	0	221	1123	1123	1123	822	41	1763	2538	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	1	1339
2	1112	ucsc_features	67.9042115824999	3.08367644636238	1911	599	643	551	643	598	784	727	920	UCSC CpG islands	NA	NA	NA	NA	NA	cpgIslandExt.bed	4.67488946868992e-68	28633
2	1117	ucsc_features	52.7781859441374	3.05058193923886	1005	735	653	989	989	792	286	1633	1418	UCSC Microsatellites	NA	NA	NA	NA	NA	microsat.bed	5.09256368421077e-53	41258
2	1113	ucsc_features	45.2679950179544	2.7662072356154	2188	799	734	237	799	590	1086	450	618	UCSC Evo CpG islands	NA	NA	NA	NA	NA	evoCpg.bed	1.51658918502578e-45	129241
2	1111	ucsc_features	32.8753625402685	2.20219063688221	1938	863	864	532	864	753	949	700	755	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	3.46765925835376e-33	864
2	1121	ucsc_features	12.7406926340614	1.88564862355647	2339	909	890	65	909	621	1373	299	331	UCSC Simple repeats	NA	NA	NA	NA	NA	simpleRepeat.bed	4.46937031697603e-13	958537
2	1123	ucsc_features	8.92643506598059	Inf	41	930	1	1122	1122	684	0	2597	1704	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	2.8455293867367e-09	1339
2	1118	ucsc_features	8.00275891166356	1.54118730911029	2181	934	923	246	934	701	1288	457	416	UCSC Nested repeats	NA	NA	NA	NA	NA	nestedRepeats.bed	0.0000000237675955209121	574736
2	1122	ucsc_features	7.91667154956073	2.09272537591831	2529	935	875	3	935	604	1563	109	141	UCSC Switch DB TSSs	NA	NA	NA	NA	NA	switchDbTss.bed	0.0000000289166899836864	131751
2	1115	ucsc_features	5.40534674378192	2.87522535203925	2610	953	695	1	953	550	1653	28	51	UCSC LaminBq	NA	NA	NA	NA	NA	laminB1.bed	0.00000920008362883666	2859551
2	1120	ucsc_features	0.25668357066474	0.99514544794557	2596	1064	1063	2	1064	710	1677	42	27	UCSC Repeat Masker	NA	NA	NA	NA	NA	rmsk.bed	1	5291824
2	1119	ucsc_features	0.0368000748486605	0.430279863565715	2	1087	1122	1123	1123	1110	3	2636	1701	UCSC Numts assembled	NA	NA	NA	NA	NA	numtSAssembled.bed	1	78
2	1116	ucsc_features	0.000000349357152864875	0.715846907943532	619	1117	1116	1099	1117	1110	511	2019	1193	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	1	1296
2	1114	ucsc_features	0	0.495673468538249	463	1120	1120	1114	1120	1120	512	2175	1192	UCSC Genomic superdups	NA	NA	NA	NA	NA	genomicSuperDups.bed	1	49852
